,Unnamed: 0,fact,context,annotators,response,model,Understandable,Natural,MaintainsContext,Engaging,UsesKnowledge,Overall,understandability_cat,natural_cat,engage_cat,coherence_cat,groundedness_cat,overall_cat,understandability_unieval,naturalness_unieval,coherence_unieval,engagingness_unieval,groundedness_unieval,overall_unieval,perplexity,bleu,bleurt_notune_src,bleurt_notune_ttl,meteor_1,meteor_n,bert_f1_src,bert_precision_src,bert_recall_src,bert_f1_ttl,bert_precision_ttl,bert_recall_ttl,rouge1,rouge2,rougeL,ctc_e_engage,ctc_e_ground,ctc_d_engage,ctc_d_ground,ctc_r_engage,ctc_r_ground,cohere_met,consist_met,relev_met
10,10,"your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.
","hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy
",maxine,"i am not . i am a student .
",Language Model,0,2,1,2,0,2,poor,poor,poor,poor,poor,poor,0.999556618,0.999615438,0.002174925,1.005313137,0.015296288,0.604391281,50.74409485,0,-2.055372715,-2.068366766,0.025754231,0.062893082,0.872631907,0.783059239,0.825422645,0.863591433,0.818302393,0.840337157,0.163265306,0.163265306,0.163265306,6.692798257,6.468249559,1.222898245,0.027647374,2.102782726,2.032487154,-4.379593588,-4.270724075,0.033026956
11,11,"your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.
","hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy
",mckenna,"i am not . i am a student .
",Language Model,1,3,1,2,0,2,poor,moderate,poor,poor,poor,poor,0.999556618,0.999615438,0.002174925,1.005313137,0.015296288,0.604391281,50.74409485,0,-2.055372715,-2.068366766,0.025754231,0.062893082,0.872631907,0.78305918,0.825422585,0.863591433,0.818302393,0.840337157,0.163265306,0.163265306,0.163265306,6.692798257,6.468249559,1.222898245,0.027647374,2.102782726,2.032487154,-4.379593588,-4.270724075,0.033026956
12,12,"your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.
","hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy
",shikib,"i only feel comfortable sharing my music with my dogs !
",New Human Generated,1,3,3,3,1,5,poor,moderate,moderate,moderate,poor,high,0.999328957,0.999428408,0.001356698,0.998639255,0.995224419,0.798795548,136.1855469,0,-1.488041639,-1.457504272,0.029390154,0.03131524,0.853438139,0.79042232,0.820722461,0.843056023,0.826432228,0.834661365,0.115384615,0.115384615,0.115384615,8.178430915,7.855388999,2.998701923,1.519679674,3.874843597,2.216041327,-4.150834286,-4.200203363,0.034529973
13,13,"your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.
","hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy
",maxine,"i only feel comfortable sharing my music with my dogs !
",New Human Generated,1,3,3,3,1,5,poor,moderate,moderate,moderate,poor,high,0.999328957,0.999428408,0.001356698,0.998639255,0.995224419,0.798795548,136.1855469,0,-1.488041639,-1.457504272,0.029390154,0.03131524,0.853438139,0.790422261,0.820722401,0.843056023,0.826432228,0.834661365,0.115384615,0.115384615,0.115384615,8.178430915,7.855388999,2.998701923,1.519679674,3.874843597,2.216041327,-4.150834286,-4.200203363,0.034529973
14,14,"your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.
","hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy
",mckenna,"i only feel comfortable sharing my music with my dogs !
",New Human Generated,1,3,3,3,1,5,poor,moderate,moderate,moderate,poor,high,0.999328957,0.999428408,0.001356698,0.998639255,0.995224419,0.798795548,136.1855469,0,-1.488041639,-1.457504272,0.029390154,0.03131524,0.853438139,0.79042232,0.820722461,0.843056023,0.826432228,0.834661365,0.115384615,0.115384615,0.115384615,8.178430915,7.855388999,2.998701923,1.519679674,3.874843597,2.216041327,-4.150834286,-4.200203363,0.034529973
15,15,"your persona: i like to take walks.
your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i like to eat hamburgers and french fries.
","hello there , how are you ?
i am well and you ? in honor of aim i'll ask a s l
45 m chicago in town . just trying to stay away from the bars
i am 37 f tampa . i like my walks on the beach and cheeseburgers in paradise .
funny thing is i came from farm life
i was named after a horse . my boyfriend likes to may nay sounds at me .
sounds like the crazy medicine i take
just do not mix with alcohol or can get crazy around here .
i used to be an alcoholic so no can do
i tend to stick to my water only . soda is worse !
that's what everyone should strive for
as long as i have my french fries !
well everyone can cheat once in a while
of course . now all of this has made me hungry .
you can go for some grub
",shikib,"chicago has some great places to eat too .
",Original Ground Truth,1,3,3,2,0,3,poor,moderate,poor,moderate,poor,moderate,0.999948818,0.999955951,0.791413112,0.998705931,0.973976002,0.952799963,96.31982422,0,-1.486000299,-1.508877993,0.020080321,0.072807851,0.83343029,0.773717284,0.802464485,0.828209043,0.819762588,0.823964179,0.105263158,0.105263158,0.105263158,8.049208879,7.649074614,4.30868578,3.321589679,3.76928854,2.883893967,-3.987645473,-3.833650947,0.028495042
16,16,"your persona: i like to take walks.
your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i like to eat hamburgers and french fries.
","hello there , how are you ?
i am well and you ? in honor of aim i'll ask a s l
45 m chicago in town . just trying to stay away from the bars
i am 37 f tampa . i like my walks on the beach and cheeseburgers in paradise .
funny thing is i came from farm life
i was named after a horse . my boyfriend likes to may nay sounds at me .
sounds like the crazy medicine i take
just do not mix with alcohol or can get crazy around here .
i used to be an alcoholic so no can do
i tend to stick to my water only . soda is worse !
that's what everyone should strive for
as long as i have my french fries !
well everyone can cheat once in a while
of course . now all of this has made me hungry .
you can go for some grub
",maxine,"chicago has some great places to eat too .
",Original Ground Truth,1,3,3,3,0,4,poor,moderate,moderate,moderate,poor,high,0.999948818,0.999955951,0.791413112,0.998705931,0.973976002,0.952799963,96.31982422,0,-1.486000299,-1.508877993,0.020080321,0.072807851,0.83343029,0.773717284,0.802464485,0.828209043,0.819762588,0.823964179,0.105263158,0.105263158,0.105263158,8.049208879,7.649074614,4.30868578,3.321589679,3.76928854,2.883893967,-3.987645473,-3.833650947,0.028495042
17,17,"your persona: i like to take walks.
your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i like to eat hamburgers and french fries.
","hello there , how are you ?
i am well and you ? in honor of aim i'll ask a s l
45 m chicago in town . just trying to stay away from the bars
i am 37 f tampa . i like my walks on the beach and cheeseburgers in paradise .
funny thing is i came from farm life
i was named after a horse . my boyfriend likes to may nay sounds at me .
sounds like the crazy medicine i take
just do not mix with alcohol or can get crazy around here .
i used to be an alcoholic so no can do
i tend to stick to my water only . soda is worse !
that's what everyone should strive for
as long as i have my french fries !
well everyone can cheat once in a while
of course . now all of this has made me hungry .
you can go for some grub
",mckenna,"chicago has some great places to eat too .
",Original Ground Truth,1,3,3,2,0,4,poor,moderate,poor,moderate,poor,high,0.999948818,0.999955951,0.791413112,0.998705931,0.973976002,0.952799963,96.31982422,0,-1.486000299,-1.508877993,0.020080321,0.072807851,0.83343029,0.773717284,0.802464485,0.828209043,0.819762588,0.823964179,0.105263158,0.105263158,0.105263158,8.049208879,7.649074614,4.30868578,3.321589679,3.76928854,2.883893967,-3.987645473,-3.833650947,0.028495042
18,18,"your persona: i like to take walks.
your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i like to eat hamburgers and french fries.
","hello there , how are you ?
i am well and you ? in honor of aim i'll ask a s l
45 m chicago in town . just trying to stay away from the bars
i am 37 f tampa . i like my walks on the beach and cheeseburgers in paradise .
funny thing is i came from farm life
i was named after a horse . my boyfriend likes to may nay sounds at me .
sounds like the crazy medicine i take
just do not mix with alcohol or can get crazy around here .
i used to be an alcoholic so no can do
i tend to stick to my water only . soda is worse !
that's what everyone should strive for
as long as i have my french fries !
well everyone can cheat once in a while
of course . now all of this has made me hungry .
you can go for some grub
",shikib,"i will win , i am telling you . then i will drive my sx into the stars .
",KV-MemNN,0,1,1,1,0,1,poor,poor,poor,poor,poor,poor,0.999666098,0.999705923,0.000241333,0.449569921,0.001105417,0.490057738,96.86238861,0,-1.682598114,-1.724021673,0.039893617,0.083102493,0.84127897,0.788087785,0.813815117,0.82745856,0.831700683,0.829574227,0.130434783,0.130434783,0.130434783,15.247159,14.55483115,3.708663687,1.069896308,4.440598488,2.950927019,-5.459563002,-4.241523493,0.027670436
19,19,"your persona: i like to take walks.
your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i like to eat hamburgers and french fries.
","hello there , how are you ?
i am well and you ? in honor of aim i'll ask a s l
45 m chicago in town . just trying to stay away from the bars
i am 37 f tampa . i like my walks on the beach and cheeseburgers in paradise .
funny thing is i came from farm life
i was named after a horse . my boyfriend likes to may nay sounds at me .
sounds like the crazy medicine i take
just do not mix with alcohol or can get crazy around here .
i used to be an alcoholic so no can do
i tend to stick to my water only . soda is worse !
that's what everyone should strive for
as long as i have my french fries !
well everyone can cheat once in a while
of course . now all of this has made me hungry .
you can go for some grub
",maxine,"i will win , i am telling you . then i will drive my sx into the stars .
",KV-MemNN,1,2,1,2,0,2,poor,poor,poor,poor,poor,poor,0.999666098,0.999705923,0.000241333,0.449569921,0.001105417,0.490057738,96.86238861,0,-1.682598114,-1.724021673,0.039893617,0.083102493,0.84127897,0.788087785,0.813815117,0.82745856,0.831700683,0.829574227,0.130434783,0.130434783,0.130434783,15.247159,14.55483115,3.708663687,1.069896308,4.440598488,2.950927019,-5.459563002,-4.241523493,0.027670436
20,20,"your persona: i like to take walks.
your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i like to eat hamburgers and french fries.
","hello there , how are you ?
i am well and you ? in honor of aim i'll ask a s l
45 m chicago in town . just trying to stay away from the bars
i am 37 f tampa . i like my walks on the beach and cheeseburgers in paradise .
funny thing is i came from farm life
i was named after a horse . my boyfriend likes to may nay sounds at me .
sounds like the crazy medicine i take
just do not mix with alcohol or can get crazy around here .
i used to be an alcoholic so no can do
i tend to stick to my water only . soda is worse !
that's what everyone should strive for
as long as i have my french fries !
well everyone can cheat once in a while
of course . now all of this has made me hungry .
you can go for some grub
",mckenna,"i will win , i am telling you . then i will drive my sx into the stars .
",KV-MemNN,0,2,1,2,0,1,poor,poor,poor,poor,poor,poor,0.999666098,0.999705923,0.000241333,0.449569921,0.001105417,0.490057738,96.86238861,0,-1.682598114,-1.724021673,0.039893617,0.083102493,0.84127897,0.788087785,0.813815117,0.82745856,0.831700683,0.829574227,0.130434783,0.130434783,0.130434783,15.247159,14.55483115,3.708663687,1.069896308,4.440598488,2.950927019,-5.459563002,-4.241523493,0.027670436
21,21,"your persona: i like to take walks.
your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i like to eat hamburgers and french fries.
","hello there , how are you ?
i am well and you ? in honor of aim i'll ask a s l
45 m chicago in town . just trying to stay away from the bars
i am 37 f tampa . i like my walks on the beach and cheeseburgers in paradise .
funny thing is i came from farm life
i was named after a horse . my boyfriend likes to may nay sounds at me .
sounds like the crazy medicine i take
just do not mix with alcohol or can get crazy around here .
i used to be an alcoholic so no can do
i tend to stick to my water only . soda is worse !
that's what everyone should strive for
as long as i have my french fries !
well everyone can cheat once in a while
of course . now all of this has made me hungry .
you can go for some grub
",shikib,"i will try that . i am a bit of a tea person .
",Seq2Seq,1,3,2,2,0,2,poor,moderate,poor,poor,poor,poor,0.999797796,0.999829374,0.012072515,0.507749761,0.052637327,0.514417355,69.37316132,0,-1.827159762,-1.68704927,0.03335557,0.070224719,0.860633612,0.787576914,0.822486103,0.861281097,0.833065808,0.84693855,0.142857143,0.142857143,0.142857143,10.54187161,9.926580429,3.475388445,1.162118781,3.628993034,2.794638872,-5.409513224,-4.284574258,0.028238906
22,22,"your persona: i like to take walks.
your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i like to eat hamburgers and french fries.
","hello there , how are you ?
i am well and you ? in honor of aim i'll ask a s l
45 m chicago in town . just trying to stay away from the bars
i am 37 f tampa . i like my walks on the beach and cheeseburgers in paradise .
funny thing is i came from farm life
i was named after a horse . my boyfriend likes to may nay sounds at me .
sounds like the crazy medicine i take
just do not mix with alcohol or can get crazy around here .
i used to be an alcoholic so no can do
i tend to stick to my water only . soda is worse !
that's what everyone should strive for
as long as i have my french fries !
well everyone can cheat once in a while
of course . now all of this has made me hungry .
you can go for some grub
",maxine,"i will try that . i am a bit of a tea person .
",Seq2Seq,1,3,1,3,0,3,poor,moderate,moderate,poor,poor,moderate,0.999797796,0.999829374,0.012072515,0.507749761,0.052637327,0.514417355,69.37316132,0,-1.827159762,-1.68704927,0.03335557,0.070224719,0.860633612,0.787576914,0.822486103,0.861281097,0.833065808,0.84693855,0.142857143,0.142857143,0.142857143,10.54187161,9.926580429,3.475388445,1.162118781,3.628993034,2.794638872,-5.409513224,-4.284574258,0.028238906
